CODE,VALUE
1-0 0.9.1 *255,"{'Descr': 'Current time (hh:mm:ss)', 'BPeri': '255', 'Value': '141558 ', 'Unit': 'hh:mm:ss'}"
1-0 0.9.2 *255,"{'Descr': 'Current date (dd/mm/yy)', 'BPeri': '255', 'Value': '0230103 ', 'Unit': 'dd/mm/yy'}"
1-0 0.0.0 *255,"{'Descr': 'Device address 1', 'BPeri': '255', 'Value': '83033390 ', 'Unit': 'hex'}"
1-0 0.1.0 *255,"{'Descr': 'MD reset counter', 'BPeri': '255', 'Value': '15 ', 'Unit': 'count'}"
1-0 0.2.0 *255,"{'Descr': 'Firmware version', 'BPeri': '255', 'Value': '1.06 ', 'Unit': 'hex'}"
C.2.1 *n/a,"{'Descr': 'Event parameters change - time stamp', 'BPeri': 'n/a', 'Value': 'CD3T ', 'Unit': 'date'}"
0-0 C.1.0 *255,"{'Descr': 'Meter serial number', 'BPeri': '255', 'Value': '83033390 ', 'Unit': 'hex'}"
0-0 C.1.6 *255,"{'Descr': 'Firmware check sum', 'BPeri': '255', 'Value': '391B ', 'Unit': 'hex'}"
0-0 C.51.1 *255,"{'Descr': 'Event terminal cover opened - counter', 'BPeri': '255', 'Value': '7 ', 'Unit': 'count'}"
0-0 C.51.2 *255,"{'Descr': 'Event terminal cover opened - time stamp', 'BPeri': '255', 'Value': '0221221120236 ', 'Unit': 'date'}"
0-0 C.51.5 *255,"{'Descr': 'Event magnetic field detection start - counter', 'BPeri': '255', 'Value': '0 ', 'Unit': 'count'}"
0-0 C.51.6 *255,"{'Descr': 'Event magnetic field detection start - time stamp', 'BPeri': '255', 'Value': ' ', 'Unit': 'date'}"
0-0 C.51.7 *255,"{'Descr': 'Event reverse power flow - counter', 'BPeri': '255', 'Value': '43 ', 'Unit': 'count'}"
0-0 C.51.8 *255,"{'Descr': 'Event reverse power flow - time stamp', 'BPeri': '255', 'Value': '0220103162525 ', 'Unit': 'date'}"
1.6.0 *n/a,"{'Descr': 'Positive active maximum demand (A+) TOTAL', 'BPeri': 'n/a', 'Value': '2301030800 ', 'Unit': 'kW'}"
1.8.0 *n/a,"{'Descr': 'Positive active energy (A+) TOTAL', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.1 *n/a,"{'Descr': 'Positive active energy (A+) T1', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *n/a,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *n/a,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.4 *n/a,"{'Descr': 'Positive active energy (A+) T4', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1-0 3.8.0 *255,"{'Descr': 'Positive reactive energy (Q+) TOTAL', 'BPeri': '255', 'Value': '', 'Unit': 'kvarh'}"
1-0 4.8.0 *255,"{'Descr': 'Negative reactive energy (Q-) TOTAL', 'BPeri': '255', 'Value': '', 'Unit': 'kvarh'}"
