CODE,VALUE
0-0 F.F.0 *n/a,"{'Descr': 'Fatal error meter status', 'BPeri': 'n/a', 'Value': '00000000 ', 'Unit': 'hex'}"
0.0.0 *n/a,"{'Descr': 'Device address 1', 'BPeri': 'n/a', 'Value': '97846089 ', 'Unit': 'hex'}"
0.0.1 *n/a,"{'Descr': 'Device address 2', 'BPeri': 'n/a', 'Value': '400 ', 'Unit': 'hex'}"
0.0.3 *n/a,"{'Descr': 'No code description found for 0.0.3', 'BPeri': 'n/a', 'Value': 'CD3T ', 'Unit': 'n/a'}"
0.1.0 *n/a,"{'Descr': 'MD reset counter', 'BPeri': 'n/a', 'Value': '01 ', 'Unit': 'count'}"
0.1.0 *1,"{'Descr': 'MD reset counter', 'BPeri': '1', 'Value': '18-01-03 08:22 ', 'Unit': 'count'}"
0.1.0 *0,"{'Descr': 'MD reset counter', 'BPeri': '0', 'Value': '00-00-00 00:00 ', 'Unit': 'count'}"
1.8.1 *n/a,"{'Descr': 'Positive active energy (A+) T1', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.1 *1,"{'Descr': 'Positive active energy (A+) T1', 'BPeri': '1', 'Value': '', 'Unit': 'kWh'}"
1.8.1 *0,"{'Descr': 'Positive active energy (A+) T1', 'BPeri': '0', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *n/a,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *1,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': '1', 'Value': '', 'Unit': 'kWh'}"
1.8.2 *0,"{'Descr': 'Positive active energy (A+) T2', 'BPeri': '0', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *n/a,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *1,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '1', 'Value': '', 'Unit': 'kWh'}"
1.8.3 *0,"{'Descr': 'Positive active energy (A+) T3', 'BPeri': '0', 'Value': '', 'Unit': 'kWh'}"
2.8.1 *n/a,"{'Descr': 'Negative active energy (A-) T1', 'BPeri': 'n/a', 'Value': '', 'Unit': 'kWh'}"
2.8.1 *1,"{'Descr': 'Negative active energy (A-) T1', 'BPeri': '1', 'Value': '', 'Unit': 'kWh'}"
