CODE,VALUE
1-0:0.9.1*255,112711
1-0:0.9.2*255,0221227
1-0:0.0.0*255,83033390
1-0:0.1.0*255,14
1-0:0.2.0*255,1.06
C.2.1,CD3T
0-0:C.1.0*255,83033390
0-0:C.1.6*255,391B
0-0:C.51.1*255,7
0-0:C.51.2*255,0221221120236
0-0:C.51.5*255,0
0-0:C.51.6*255,
0-0:C.51.7*255,43
0-0:C.51.8*255,0220103162525
1.6.0,00.000*kW
1.8.0,0000261.382*kWh
1.8.1,0000004.510*kWh
1.8.2,0000085.973*kWh
1.8.3,0000170.898*kWh
1.8.4,0000000.000*kWh
1-0:3.8.0*255,0000143.418*kVArh
1-0:4.8.0*255,0000003.545*kVArh
1-0:5.8.0*255,0000142.742*kVArh
1-0:6.8.0*255,0000000.676*kVArh
1-0:7.8.0*255,0000001.013*kVArh
1-0:8.8.0*255,0000002.532*kVArh
1-0:0.1.2*14,2212211204
1-0:0.1.2*13,2201031221
1-0:0.1.2*12,2108010000
1-0:0.1.2*11,2107010000
1-0:0.1.2*10,2106010000
1-0:0.1.2*09,2105010000
1.8.0*14,0000261.382*kWh
1.8.0*13,0000219.587*kWh
1.8.0*12,0000203.679*kWh
1.8.0*11,0000177.944*kWh
1.8.0*10,0000154.558*kWh
1.8.0*09,0000094.165*kWh
1.8.1*14,0000004.510*kWh
1.8.1*13,0000004.510*kWh
1.8.1*12,0000004.510*kWh
1.8.1*11,0000004.510*kWh
1.8.1*10,0000004.510*kWh
1.8.1*09,0000004.510*kWh
1.8.2*14,0000085.973*kWh
1.8.2*13,0000085.973*kWh
1.8.2*12,0000076.105*kWh
1.8.2*11,0000064.479*kWh
1.8.2*10,0000057.067*kWh
1.8.2*09,0000020.387*kWh
1.8.3*14,0000170.898*kWh
1.8.3*13,0000129.104*kWh
1.8.3*12,0000123.063*kWh
1.8.3*11,0000108.955*kWh
1.8.3*10,0000092.980*kWh
1.8.3*09,0000069.267*kWh
1.8.4*14,0000000.000*kWh
1.8.4*13,0000000.000*kWh
1.8.4*12,0000000.000*kWh
1.8.4*11,0000000.000*kWh
1.8.4*10,0000000.000*kWh
1.8.4*09,0000000.000*kWh
